Name,W,L,ERA,G,GS,SV,IP,H,HR,BB,SO
Bobby Jones*\jonesbo04,7,8,5.22,35,20,0,141.1,153,12,66,109
Bobby Jones\jonesbo03,9,9,4.05,30,30,0,195.1,192,23,53,115
Doug Jones\jonesdo01,4,6,4.54,69,0,13,85.1,99,17,17,71
Doug Jones\jonesdo01,3,4,5.17,46,0,12,54,65,15,11,43
Doug Jones\jonesdo01,1,2,3.45,23,0,1,31.1,34,2,6,28
Todd Jones\jonesto02,1,4,4.97,65,0,28,63.1,58,7,36,57
Ricardo Jordan*\jordari03,1,0,24.3,6,0,0,3.1,4,2,7,1
Mike Judd\juddmi01,0,0,15.09,7,0,0,11.1,19,4,9,14
Jeff Juden\judenje01,8,14,5.8,32,30,0,178.1,182,27,84,148
Jeff Juden\judenje01,7,11,5.53,24,24,0,138.1,149,20,66,109
Jeff Juden\judenje01,1,3,6.75,8,6,0,40,33,7,18,39
Scott Kamieniecki\kamiesc01,2,6,6.75,12,11,0,54.2,67,7,26,25
Matt Karchner\karchma01,5,5,5.15,61,0,11,64.2,63,8,33,52
Matt Karchner\karchma01,2,4,5.15,32,0,11,36.2,33,2,19,30
Matt Karchner\karchma01,3,1,5.14,29,0,0,28,30,6,14,22
Scott Karl*\karlsc01,10,11,4.4,33,33,0,192.1,219,21,66,102
Steve Karsay\karsast01,0,2,5.92,11,1,0,24.1,31,3,6,13
Greg Keagle\keaglgr01,0,5,5.59,9,7,0,38.2,46,5,20,25
Jimmy Key*\keyji01,6,3,4.2,25,11,0,79.1,77,5,23,53
Darryl Kile\kileda01,13,17,5.2,36,35,0,230.1,257,28,96,158
Curtis King\kingcu01,2,0,3.53,36,0,2,51,50,5,20,28
Steve Kline*\klinest02,3,6,2.76,78,0,1,71.2,62,4,41,76
Scott Klingenbeck\klingsc01,1,3,5.96,4,4,0,22.2,26,6,7,13
Rick Krivda*\krivdri01,2,2,7.36,27,2,0,51.1,65,9,35,29
Rick Krivda*\krivdri01,2,0,3.24,11,1,0,25,24,2,16,10
Rick Krivda*\krivdri01,0,2,11.28,16,1,0,26.1,41,7,19,19
Marc Kroon\kroonma01,0,0,9.39,6,0,0,7.2,7,0,9,6
Marc Kroon\kroonma01,0,0,0,2,0,0,2.1,0,0,1,2
Marc Kroon\kroonma01,0,0,13.5,4,0,0,5.1,7,0,8,4
Jeff Kubenka*\kubenje01,1,0,0.96,6,0,0,9.1,4,0,8,10
Mark Langston*\langsma01,4,6,5.86,22,16,0,81.1,107,11,41,56
Frank Lankford\lankffr01,0,2,5.95,12,0,1,19.2,23,2,7,7
Andy Larkin\larkian01,3,8,9.64,17,14,0,74.2,101,12,55,43
Sean Lawrence*\lawrese01,2,1,7.32,7,3,0,19.2,25,4,10,12
Al Leiter*\leiteal01,17,6,2.47,28,28,0,193,151,8,71,174
Mark Leiter\leitema01,7,5,3.55,69,0,23,88.2,67,8,47,84
Curt Leskanic\leskacu01,6,4,4.4,66,0,2,75.2,75,9,40,55
Al Levine\levinal01,0,1,4.5,30,0,0,58,68,6,16,19
Richie Lewis\lewisri01,0,0,15.43,2,1,0,4.2,8,2,5,4
Jon Lieber\liebejo01,8,14,4.11,29,28,1,171,182,23,40,138
Kerry Ligtenberg\ligteke01,3,2,2.71,75,0,30,73,51,6,24,79
Jose Lima\limajo01,16,8,3.7,33,33,0,233.1,229,34,32,169
Felipe Lira\lirafe01,1,0,4.6,7,0,0,15.2,22,5,5,16
Graeme Lloyd*\lloydgr01,3,0,1.67,50,0,0,37.2,26,3,6,20
Esteban Loaiza\loaizes01,9,11,5.16,35,28,0,171,199,28,52,108
Esteban Loaiza\loaizes01,6,5,4.52,21,14,0,91.2,96,13,30,53
Esteban Loaiza\loaizes01,3,6,5.9,14,14,0,79.1,103,15,22,55
Carlton Loewer\loeweca01,7,8,6.09,21,21,0,122.2,154,18,39,58
Rich Loiselle\loiseri01,2,7,3.44,54,0,19,55,56,2,36,48
Braden Looper\loopebr01,0,1,5.4,4,0,0,3.1,5,1,1,4
Albie Lopez\lopezal02,7,4,2.6,54,0,1,79.2,73,7,32,62
Andrew Lorraine*\lorraan01,0,0,2.45,4,0,0,3.2,3,0,4,0
Derek Lowe\lowede01,3,9,4.02,63,10,4,123,126,5,42,77
Sean Lowe\lowese01,0,3,15.19,4,1,0,5.1,11,1,5,2
Eric Ludwick\ludwier01,1,4,7.44,13,6,0,32.2,46,7,17,27
Greg Maddux\maddugr01,18,9,2.22,34,34,0,251,201,13,45,204
Mike Maddux\maddumi01,3,4,3.72,51,0,1,55.2,50,3,15,33
Mike Magnante*\magnami01,4,7,4.88,48,0,2,51.2,56,2,26,39
Ron Mahay*\mahayro01,1,1,3.46,29,0,1,26,26,2,15,14
Sean Maloney\malonse01,0,1,4.97,11,0,0,12.2,13,2,5,11
Matt Mantei\mantema01,3,4,2.96,42,0,9,54.2,38,1,23,63
Barry Manuel\manueba01,1,0,7.47,13,0,0,15.2,17,5,14,12
Tom Martin*\martito02,1,1,12.89,14,0,0,14.2,29,3,12,9
Dennis Martinez\martide01,4,6,4.45,53,5,2,91,109,8,19,62
Javier Martinez\martija02,0,1,4.83,37,0,0,41,39,5,34,42
Pedro Martinez\martipe02,19,7,2.89,33,33,0,233.2,188,26,67,251
Ramon Martinez\martira02,7,3,2.83,15,15,0,101.2,76,8,41,91
T.J. Mathews\mathet.01,7,4,4.58,66,0,1,72.2,71,6,29,53
Terry Mathews\mathete01,0,1,6.2,17,0,0,20.1,26,6,8,10
Greg McCarthy*\mccargr01,1,2,5.01,29,0,0,23.1,18,6,17,25
Jeff McCurry\mccurje01,1,3,6.52,16,0,0,19.1,24,4,9,11
Allen McDill*\mcdilal01,0,0,10.5,7,0,0,6,9,3,2,3
